Index,PlayerName,Nation,position,Squad,Competition,Age,BirthYear,Full 90s Played,Goals Scored,Total Shots,Shots on Target,Shots on Target%,Shots Per90,Shots on Target P90,Goals Per Shot,G/SOT,Average shot Distance,Shots from free kicks,Penalties created,Penalties attempted,xG,npxg,npxG/Sh,G-xG,npG-npxG
1,Max Aarons,ENG,DF,Bournemouth,Premier League,23-346,2000,10.6,0,1,0,0.0,0.09,0.00,0.00,0.00,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0
2,Brenden Aaronson,USA,MF,Union Berlin,Bundesliga,23-055,2000,3.4,0,2,0,0.0,0.59,0.00,0.00,0.00,22.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
3,Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,20-112,2003,1.1,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
4,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,36-079,1987,15.0,3,14,7,50.0,0.93,0.47,0.21,0.43,12.8,0,0,0,2.2,2.2,0.15,+0.8,+0.8
5,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23-265,2000,11.9,0,5,0,0.0,0.42,0.00,0.00,0.00,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8
6,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30-318,1993,15.0,1,8,3,37.5,0.53,0.20,0.13,0.33,25.8,0,0,0,0.5,0.5,0.07,+0.5,+0.5
7,Matthis Abline,FRA,FW,Nantes,Ligue 1,20-263,2003,4.0,1,12,6,50.0,3.03,1.52,0.08,0.17,16.9,0,0,0,0.8,0.8,0.07,+0.2,+0.2
8,Abner,BRA,DF,Betis,La Liga,23-203,2000,7.8,0,3,0,0.0,0.38,0.00,0.00,0.00,15.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
9,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23-301,2000,4.2,3,13,5,38.5,3.11,1.20,0.15,0.40,17.1,0,1,1,2.2,1.4,0.11,+0.8,+0.6
10,Abdel Abqar,MAR,DF,Alavés,La Liga,24-281,1999,12.9,0,6,1,16.7,0.46,0.08,0.00,0.00,10.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3
11,Francesco Acerbi,ITA,DF,Inter,Serie A,35-309,1988,12.0,1,8,2,25.0,0.67,0.17,0.13,0.50,11.4,0,0,0,0.7,0.7,0.09,+0.3,+0.3
12,Marcos Acuña,ARG,DF,Sevilla,La Liga,32-049,1991,5.1,0,4,1,25.0,0.79,0.20,0.00,0.00,27.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
13,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,Premier League,21-016,2002,4.3,0,1,1,100.0,0.23,0.23,0.00,0.00,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3
14,Akor Adams,NGA,FW,Montpellier,Ligue 1,23-321,2000,13.5,7,47,20,42.6,3.47,1.48,0.15,0.35,14.8,0,0,0,8.0,8.0,0.17,-1.0,-1.0
15,Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22-193,2001,1.0,0,2,1,50.0,2.07,1.03,0.00,0.00,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
16,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30-207,1993,1.6,0,5,4,80.0,3.17,2.54,0.00,0.00,10.8,0,0,0,0.9,0.9,0.19,-0.9,-0.9
17,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,26-083,1997,2.0,1,1,1,100.0,0.49,0.49,1.00,1.00,12.0,0,0,0,0.0,0.0,0.03,+1.0,+1.0
18,Elijah Adebayo,ENG,FW,Luton Town,Premier League,25-343,1998,6.5,4,11,4,36.4,1.69,0.61,0.36,1.00,9.8,0,0,0,1.9,1.9,0.17,+2.1,+2.1
19,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21-332,2002,4.1,0,5,2,40.0,1.22,0.49,0.00,0.00,14.4,0,0,0,0.8,0.8,0.16,-0.8,-0.8
20,Simon Adingra,CIV,"FW,MF",Brighton,Premier League,21-349,2002,11.3,4,19,10,52.6,1.68,0.88,0.21,0.40,16.3,0,0,0,2.3,2.3,0.12,+1.7,+1.7
21,Amine Adli,MAR,"MF,DF",Leverkusen,Bundesliga,23-220,2000,2.9,1,7,3,42.9,2.38,1.02,0.14,0.33,15.5,0,0,0,0.5,0.5,0.07,+0.5,+0.5
22,Yacine Adli,FRA,MF,Milan,Serie A,23-140,2000,3.6,0,1,0,0.0,0.28,0.00,0.00,0.00,26.2,0,0,0,0.0,0.0,0.02,0.0,0.0
23,Adson,BRA,"MF,FW",Nantes,Ligue 1,23-071,2000,2.6,0,5,0,0.0,1.89,0.00,0.00,0.00,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
24,Michel Aebischer,SUI,MF,Bologna,Serie A,26-344,1997,12.0,0,2,1,50.0,0.17,0.08,0.00,0.00,20.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
25,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26-182,1997,10.7,0,10,2,20.0,0.93,0.19,0.00,0.00,18.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
26,Lucien Agoume,FRA,MF,Inter,Serie A,21-310,2002,0.1,0,0,0,0.0,0.00,0.00,0.00,0.00,0.0,0,0,0,0.0,0.0,,0.0,0.0
27,Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,24-080,1999,1.3,0,1,0,0.0,0.78,0.00,0.00,0.00,12.7,0,0,0,0.1,0.1,0.12,-0.1,-0.1
28,Nayef Aguerd,MAR,DF,West Ham,Premier League,27-261,1996,14.7,1,11,2,18.2,0.75,0.14,0.09,0.50,10.0,0,0,0,1.3,1.3,0.12,-0.3,-0.3
29,Ruben Aguilar,FRA,DF,Lens,Ligue 1,30-234,1993,9.5,0,7,2,28.6,0.73,0.21,0.00,0.00,18.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6
30,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21-262,2002,1.4,0,2,0,0.0,1.48,0.00,0.00,0.00,21.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
31,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24-265,1999,11.5,0,8,1,12.5,0.70,0.09,0.00,0.00,13.3,0,0,0,0.9,0.9,0.11,-0.9,-0.9
32,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,28-078,1995,4.5,0,3,0,0.0,0.66,0.00,0.00,0.00,15.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
33,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,27-069,1996,9.0,1,4,1,25.0,0.45,0.11,0.25,1.00,25.5,0,0,0,0.1,0.1,0.03,+0.9,+0.9
34,Rayan Aït Nouri,ALG,"DF,MF",Wolves,Premier League,22-193,2001,9.9,0,8,0,0.0,0.81,0.00,0.00,0.00,15.4,0,0,0,1.2,1.2,0.16,-1.2,-1.2
35,Tosin Aiyegun,BEN,MF,Lorient,Ligue 1,25-173,1998,5.3,2,4,2,50.0,0.76,0.38,0.50,1.00,15.5,0,0,0,1.5,1.5,0.37,+0.5,+0.5
36,Kristoffer Ajer,NOR,DF,Brentford,Premier League,25-243,1998,8.1,0,6,1,16.7,0.74,0.12,0.00,0.00,9.0,0,0,0,0.7,0.7,0.11,-0.7,-0.7
